Year,Quarter,Class,Title,Instructor,Students,AverageGPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2011,Fall,CSE 142,Computer Prgrmng I,"Martin, Helene",333,2.6,16,60,48,41,44,29,17,12,5,4,3,24,30
2011,Fall,CSE 142,Computer Prgrmng I,"Martin, Helene",345,2.7,29,67,49,38,37,41,22,17,5,6,1,19,14
2011,Fall,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",273,2.7,22,58,32,26,31,21,18,12,6,2,2,15,28
2011,Fall,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",495,2.9,28,67,105,96,108,43,10,4,8,6,3,4,13
2011,Fall,ECON 200,Intro Microecon,"Ellis, Gregory M.",385,3,16,96,93,71,44,18,7,6,6,2,3,7,16
2011,Fall,ENVIR 100,Environmntl Foundatn,"Straus, Kristina M",196,3.1,26,47,33,32,21,15,6,3,1,2,1,3,6
2011,Fall,GENOME 371,Intro Genetics,"Raghuraman, M. K.",186,2.7,25,28,17,16,22,17,9,17,7,5,6,5,12
2011,Fall,GEOG 123,Intro Globalization,"Sparke, Matthew",323,2.7,37,27,43,70,62,19,14,10,6,4,6,18,7
2011,Fall,HIST 111,The Ancient World,"Walker, Joel T",199,2.9,3,39,42,35,34,9,7,10,1,3,1,3,12
2011,Fall,JAPAN 111,1st-Yr Japanese,"Nishikawa, Itsuko",50,2.7,9,15,2,4,3,2,1,1,1,2,2,5,3
2011,Fall,LING 100,Fund Of Grammar,"Surek-Clark, Clarissa",191,3,44,35,22,21,27,8,8,13,2,2,4,4,1
2011,Fall,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",229,2.7,27,42,25,19,36,18,14,13,11,4,8,8,4
2011,Fall,MATH 111,Algebra With Appl,"Conroy, Matthew",190,2.7,18,35,33,16,25,14,6,12,4,6,3,12,6
2011,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",193,2.9,30,25,26,33,28,15,12,8,1,2,3,2,8
2011,Fall,MATH 120,Precalculus,"Conroy, Matthew",169,2.5,12,24,19,29,21,4,6,3,9,5,5,12,20
2011,Fall,MATH 120,Precalculus,"Loveless, Andrew",193,2.8,15,23,27,36,41,12,8,9,4,1,4,5,8
2011,Fall,MATH 124,Calc Analyt Geom I,"Koblitz, Neal I",126,2.3,8,9,9,16,17,13,9,11,9,5,4,4,12
2011,Fall,MATH 125,Calc Analyt Geom Ii,"Burdzy, Krzysztof",127,2.6,10,13,13,16,28,12,10,9,4,3,2,1,6
2011,Fall,MATH 125,Calc Analyt Geom Ii,"Burdzy, Krzysztof",128,2.6,9,14,20,16,19,13,10,9,4,1,3,3,7
2011,Fall,MATH 125,Calc Analyt Geom Ii,"Bekyel, Ebru",128,2.7,8,13,28,22,13,8,6,11,2,3,2,3,9
2011,Fall,MATH 125,Calc Analyt Geom Ii,"Bekyel, Ebru",129,2.9,11,19,32,20,14,6,8,8,2,1,2,1,5
2011,Fall,MATH 308,Matrix Algebra,"King, James R",48,2.8,5,7,14,1,4,3,4,3,2,1,1,1,2
2011,Fall,MATH 308,Matrix Algebra,"Nichifor, Alexandra",50,2.8,10,7,3,7,6,2,5,2,2,1,1,2,2
2011,Fall,MATH 324,Adv Multivar Calc 1,"Folland, Gerald B",49,2.6,12,3,4,1,4,5,3,2,3,1,1,3,7
2011,Fall,MICROM 301,Gen Microbiology,"Mougous, Joseph D",212,2.5,14,17,26,26,35,24,13,11,13,6,4,9,14
2011,Fall,MICROM 410,Fund Of Gen Micro I,"Parsek, Matthew R",186,2.5,31,20,18,13,17,22,11,15,7,8,2,12,10
2011,Fall,MUSIC 116,Elem Music Theory,"Kappy, David L",175,2.9,22,40,22,22,11,9,9,2,6,5,2,5,20
2011,Fall,PHIL 267,Intro Phil Of Relig,"Clatterbaugh, Kenneth C",124,2.7,8,26,16,22,14,6,7,8,2,3,6,3,3
2011,Fall,POL S 201,Intro Pol Theory,"Di Stefano, Christine",229,2.8,28,43,35,34,32,14,12,8,7,3,3,7,3
2011,Fall,POL S 202,Intro To Amer Pol,"Thorpe, Rebecca U",214,3.2,24,87,35,26,17,5,4,3,1,1,2,4,5
2011,Fall,POL S 321,Amer Foreign Policy,"Datta, Robin",40,2.5,3,6,3,4,4,4,5,1,2,2,1,1,4
2011,Fall,PSYCH 101,Intro To Psych,"King, Kevin M",248,2.9,35,53,34,29,34,13,14,15,8,3,2,5,3
2011,Fall,PSYCH 357,Psychobiol Of Women,"Kenney, Nancy J",72,3.1,15,20,11,5,4,4,4,2,2,1,1,2,1
2011,Fall,SOC 110,Survey Sociology,"Pitchford, Susan",230,3.1,49,55,30,23,20,9,7,9,9,1,1,6,11
2011,Fall,SOC 316,Sociological Theory,"Kiser, Edgar",143,2.8,22,18,15,20,29,7,7,9,5,1,2,2,6
2011,Fall,SOC 351,Intimate Relatnshps,"Schwartz, Pepper J",196,2.6,4,20,28,35,40,27,14,4,5,4,1,8,6
2011,Fall,SOC 376,Drugs & Society,"Wender, Jonathan M",148,3,4,37,31,37,15,12,2,3,1,1,1,2,2
2011,Fall,STAT 220,Basic Statistics,"Grove, Ranjini",166,2.7,4,35,26,27,30,11,6,5,3,5,1,9,4
2011,Winter,ANTH 211,Envir Justice,"Pena, Devon G",89,2.9,13,16,14,11,9,7,4,2,1,1,1,3,7
2011,Winter,ARCH 210,Design Drawing I,"Proksch, Gundula",185,2.9,3,29,28,52,29,11,7,4,1,1,1,2,17
2011,Winter,ARCH 351,Romn Gthic Ren Arch,"Mclaren, Brian",157,2.8,19,35,21,16,17,8,12,8,2,3,2,5,9
2011,Winter,ART H 202,West Art Med & Ren,"Lingo, Stuart P",262,3.2,52,83,47,23,23,10,1,2,2,2,3,6,8
2011,Winter,ASTR 101,Astronomy,"Balick, Bruce",237,2.9,8,38,66,56,34,6,8,5,3,3,3,3,4
2011,Winter,ASTR 150,The Planets,"Sullivan, Woodruff T Iii",234,3.1,62,39,30,38,22,14,6,5,5,4,4,4,1
2011,Winter,BIO A 201,Prin Biologcl Anth,"Kushnick, Geoff",197,2.9,21,53,25,24,25,14,11,4,3,7,1,3,6
2011,Winter,BIOC 441,Biochemistry,"Parson, William W",252,2.9,24,45,34,42,43,21,10,11,2,4,1,3,12
2011,Winter,BIOL 118,Survey Of Physiol,"Bilgen, Tolga",415,2.5,28,50,58,39,69,33,29,32,20,9,15,17,16
2011,Winter,BIOL 180,Intro Biology,"Leache, Adam D.",632,2.6,45,82,76,89,101,62,49,45,20,17,8,14,24
2011,Winter,BIOL 200,Intro Biol,"Ruohola-Baker, Hannele",428,2.8,35,63,57,60,91,44,29,18,7,8,4,4,8
2011,Winter,BIOL 350,Foundtns Physiology,"Wenderoth, Mary P",123,2.4,5,11,10,18,22,20,11,8,4,5,2,5,2
2011,Winter,BIOL 476,Conservation Biol,"Tewksbury, Joshua J",122,2.8,8,32,23,14,16,9,3,2,3,5,1,5,1
2011,Winter,CHEM 142,General Chemistry,"Carroll, Andrea D.",558,2.7,23,74,79,92,95,61,42,41,10,10,5,11,15
2011,Winter,CHEM 142,General Chemistry,"Miller, Leah M.",271,2.6,19,33,31,37,54,24,29,20,11,5,2,4,2
2011,Winter,CHEM 152,General Chemistry,"Chiu, Daniel T.",459,2.7,12,52,58,94,97,52,33,32,11,4,6,3,5
2011,Winter,CHEM 220,Principles Chem Ii,"Sasaki, Tomikazu",310,2.6,20,38,37,33,61,43,35,22,7,5,3,1,5
2011,Winter,CHEM 237,Organic Chemistry,"Michael, Forrest",324,2.6,28,26,39,44,61,30,35,23,11,5,6,5,11
2011,Winter,CHEM 238,Organic Chemistry,"Finney, Eric E",359,2.6,28,62,45,39,32,44,37,26,15,11,8,11,1
2011,Winter,CHEM 241,Organic Chem Lab,"Clary, Scott T.",566,3,51,116,126,83,78,52,20,21,7,2,2,5,3
2011,Winter,CLAS 430,Grk & Rom Mythology,"Hollmann, Alexander J",229,3.1,37,45,59,16,33,11,5,11,1,5,1,1,4
2011,Winter,COM 201,Intro To Comm I,"Beam, Randal A",408,3.2,92,89,62,59,45,27,8,5,3,6,1,3,8
2011,Winter,COM 220,Intro To Public Spk,"Mcgarrity, Matt",155,2.9,8,32,24,26,30,12,10,2,3,2,1,2,3
2011,Winter,CSE 142,Computer Prgrmng I,"Reges, Stuart",313,2.6,25,51,40,40,45,23,12,17,9,3,3,28,17
2011,Winter,CSE 142,Computer Prgrmng I,"Reges, Stuart",325,2.7,28,61,45,39,47,16,16,14,11,10,6,16,16
2011,Winter,CSE 143,Computer Prgrmng Ii,"Stepp, Martin",248,2.8,24,50,25,40,47,12,17,10,5,4,1,5,8
2011,Winter,CSE 143,Computer Prgrmng Ii,"Stepp, Martin",245,2.7,24,30,29,35,48,16,18,21,2,5,1,7,9
2011,Winter,ECON 200,Intro Microecon,"Ellis, Gregory M.",472,3,27,118,100,93,64,10,9,13,6,3,6,4,19
2011,Winter,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",434,3,45,77,80,85,86,23,16,2,2,6,1,4,7
2011,Winter,ESRM 100,Environmental Sci,"Harrison, Robert B",471,3.3,99,176,76,44,28,18,8,5,2,2,3,3,7
2011,Winter,ESS 210,Physical Geology,"Crider, Juliet",39,2.9,1,13,6,6,3,1,3,1,1,1,1,1,1
2011,Winter,GEOG 270,Geog Dvlp & Enviro,"Bergmann, Luke R.",70,2.8,11,18,9,5,4,2,7,5,1,2,1,4,1
2011,Winter,JAPAN 112,1st-Yr Japanese,"Nishikawa, Itsuko",42,2.5,7,6,5,3,4,1,1,3,3,1,1,5,2
2011,Winter,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",234,2.8,51,30,25,27,30,11,10,12,6,4,6,13,9
2011,Winter,MATH 111,Algebra With Appl,"Nichifor, Alexandra",161,3.1,43,35,19,8,18,9,8,9,4,3,2,1,2
2011,Winter,MATH 111,Algebra With Appl,"Nichifor, Alexandra",162,3.3,38,42,36,10,17,6,5,3,1,1,1,1,1
2011,Winter,MATH 112,Business &Econ Calc,"Taggart, Jennifer",126,2.9,23,33,10,11,10,6,9,8,6,1,6,1,2
2011,Winter,MATH 120,Precalculus,"Conroy, Matthew",145,2.4,9,12,25,21,19,4,11,16,4,4,3,11,6
2011,Winter,MATH 120,Precalculus,"Conroy, Matthew",148,2.3,8,17,11,20,28,7,5,12,7,6,4,17,6
2011,Winter,MATH 125,Calc Analyt Geom Ii,"Koblitz, Neal I",111,2.8,6,17,9,16,27,8,8,4,2,2,1,1,10
2011,Winter,MATH 125,Calc Analyt Geom Ii,"Conroy, Matthew",118,2.6,15,15,15,19,10,3,9,8,4,5,2,6,7
2011,Winter,MATH 125,Calc Analyt Geom Ii,"Bube, Kenneth P",119,3.1,23,24,24,12,14,6,4,3,2,1,1,1,4
2011,Winter,MICROM 301,Gen Microbiology,"Anderson, Denise G",233,2.6,21,33,28,25,30,27,15,17,10,7,1,11,8
2011,Winter,MICROM 450,Molec Biol Vir,"Champoux, James J",65,2.8,16,8,8,4,3,7,6,6,1,2,1,1,2
2011,Winter,MUSIC 116,Elem Music Theory,"Saks, Toby",222,3.3,124,20,24,6,5,6,4,6,2,3,1,13,8
2011,Winter,MUSIC 116,Elem Music Theory,"Kappy, David L",176,3.1,36,41,24,15,8,6,9,10,1,1,2,4,19
2011,Winter,PHIL 114,Phil Issues In Law,"Moore, Ronald M",130,2.8,21,26,15,19,10,4,9,7,5,6,2,2,4
2011,Winter,POL S 201,Intro Pol Theory,"Turner Iii, Jack",146,2.9,7,27,35,26,15,6,8,7,2,1,2,3,7
2011,Winter,POL S 202,Intro To Amer Pol,"Murakawa, Naomi D.",235,3.3,28,103,44,18,26,3,3,1,2,1,1,3,2
2011,Winter,POL S 203,Intro Internatl Rel,"Caporaso, James A",236,3.1,31,78,28,27,28,8,14,6,6,2,2,3,3
2011,Winter,POL S 361,Us Cts & Civil Lib,"Lovell, George I",94,2.8,16,22,11,7,7,9,5,4,1,3,3,4,2
2011,Winter,PSYCH 101,Intro To Psych,"Prat, Chantel",433,3.5,253,66,32,19,20,14,8,4,3,3,3,1,7
2011,Winter,PSYCH 101,Intro To Psych,"Mclaughlin, Judith L.",108,2.8,21,13,16,10,13,8,9,4,4,2,1,3,4
2011,Winter,PSYCH 202,Biopsych,"Voorhies, Ann C",278,2.9,61,37,29,30,42,16,16,13,5,7,2,7,13
2011,Winter,PSYCH 205,Behavior Disorders,"Chun, Deborah Y.",76,2.6,7,10,8,8,8,9,7,2,3,2,1,4,7
2011,Winter,PSYCH 209,Fdmntls Psych Rsch,"Passer, Michael W",192,3.2,46,50,32,18,21,7,8,2,1,2,1,2,2
2011,Winter,PSYCH 322,Intro Drugs & Behav,"Diaz, Jaime",142,3.4,72,27,8,7,8,4,5,2,1,1,1,2,4
2011,Winter,Q SCI 292,Anlys For Biol 2,"Johnson, Jay Allan",69,2.7,12,12,8,4,8,4,9,2,3,1,3,2,1
2011,Winter,SOC 247,Contemp Soc Mvmnts,"Pettinicchio, David",55,2.9,8,19,5,6,3,3,1,2,1,1,1,4,1
2011,Winter,SOC 275,Murder,"Weis, Joseph G",343,2.8,29,71,50,36,47,33,19,21,10,10,3,7,7
2011,Winter,SOC 371,Criminology,"Matsueda, Ross L.",195,2.9,23,34,57,31,8,6,7,10,2,3,3,8,3
2011,Winter,SOC 374,Law And Society,"Wender, Jonathan M",130,2.9,7,22,26,40,17,6,1,3,1,2,2,2,1
2011,Spring,ART 208,Surv Of Design Hist,"Ozubko, Christopher",140,3.2,26,55,24,10,6,3,2,1,2,2,4,4,1
2011,Spring,ART H 203,Surv West Art-Mod,"Casteras, Susan P.",315,3.3,140,49,42,25,15,13,5,4,5,3,3,6,5
2011,Spring,ASTR 150,The Planets,"Smith, Toby R.",252,3.2,34,78,57,23,26,12,6,4,3,2,2,2,3
2011,Spring,ATM S 111,Global Warming,"Frierson, Dargan M",212,3,40,39,32,28,21,15,5,8,6,7,4,2,5
2011,Spring,B STR 301,General Anatomy,"Pittack, Catrin",426,2.9,49,105,60,50,42,24,28,23,7,7,4,9,18
2011,Spring,BIOL 118,Survey Of Physiol,"Bilgen, Tolga",402,2.5,33,55,48,35,66,26,26,23,20,12,16,20,22
2011,Spring,BIOL 180,Intro Biology,"Naish, Kerry",456,2.7,35,64,61,61,72,36,39,28,20,10,5,11,14
2011,Spring,BIOL 317,Plant Class & Ident,"Olmstead, Richard G.",110,2.6,17,16,7,10,16,6,15,12,2,1,2,4,2
2011,Spring,CHEM 142,General Chemistry,"Bryant, Jasmine R.",277,2.7,22,33,24,37,62,30,11,19,10,8,1,6,14
2011,Spring,CHEM 152,General Chemistry,"Craig, Colleen",625,2.8,36,106,103,106,101,61,44,29,6,3,6,13,11
2011,Spring,CHEM 162,General Chemistry,"Turecek, Frantisek",384,2.7,13,44,50,63,96,47,39,18,5,1,3,1,4
2011,Spring,CHEM 221,Principles Chem Iii,"Finney, Eric E",211,2.6,15,36,24,23,36,20,13,17,10,11,1,3,2
2011,Spring,CHEM 238,Organic Chemistry,"Andersen, Niels H",280,2.7,16,40,34,18,67,32,42,16,4,2,1,1,7
2011,Spring,CHEM 239,Organic Chemistry,"Clary, Scott T.",248,2.7,21,37,35,25,40,27,12,15,7,4,2,5,18
2011,Spring,CHEM 239,Organic Chemistry,"Sasaki, Tomikazu",357,2.6,24,41,47,33,65,43,31,34,11,8,1,4,15
2011,Spring,CHEM 242,Organic Chem Lab,"Sasaki, Tomikazu",208,2.9,16,48,31,28,29,22,10,8,7,5,2,1,1
2011,Spring,CLAS 430,Grk & Rom Mythology,"Topper, Kathryn R.",194,2.9,21,57,34,10,17,9,10,5,1,1,4,9,16
2011,Spring,CSE 142,Computer Prgrmng I,"Martin, Helene",215,2.6,28,32,24,16,18,29,15,12,1,7,1,14,18
2011,Spring,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",369,2.6,30,63,45,47,53,30,13,20,10,11,2,28,17
2011,Spring,CSE 373,Data Struc/Algorith,"Limketkai, Benson N",113,2.7,9,19,12,23,16,6,9,3,3,2,1,5,5
2011,Spring,ENV H 311,Intro To Env Health,"Treser, Charles D.",124,3,13,39,18,9,13,9,5,3,3,5,1,2,4
2011,Spring,ESRM 100,Environmental Sci,"Harrison, Robert B",549,3.2,135,158,89,48,36,27,12,7,9,3,4,8,13
2011,Spring,GEOG 271,Geog Food & Eating,"Jarosz, Lucy A.",177,2.6,4,42,16,25,30,16,9,7,6,6,6,9,1
2011,Spring,HSERV 100,Prsnl & Public Hlth,"Mackenzie, Sara Louise",149,3,33,32,20,14,11,8,12,6,2,3,2,1,5
2011,Spring,JAPAN 113,1st-Yr Japanese,"Nishikawa, Itsuko",38,2.6,2,9,7,5,1,1,3,2,2,2,1,2,1
2011,Spring,LING 100,Fund Of Grammar,"Surek-Clark, Clarissa",182,2.9,31,34,31,16,28,14,10,6,1,2,6,2,1
2011,Spring,LING 200,Intro Ling Thought,"Aldridge, Edith",126,2.5,17,12,15,13,13,11,6,6,4,6,5,10,8
2011,Spring,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",38,2.5,4,7,4,4,1,1,3,1,1,2,2,3,5
2011,Spring,LING 233,Language & Society,"Evans, Betsy E",131,2.6,15,21,16,19,21,6,2,8,5,2,1,11,4
2011,Spring,MATH 112,Business &Econ Calc,"Loveless, Andrew",198,3.1,43,44,27,23,21,12,9,7,3,3,2,1,3
2011,Spring,MATH 124,Calc Analyt Geom I,"Yuan, Yu",115,2.5,14,7,11,7,32,7,4,10,5,4,4,4,6
2011,Spring,MATH 125,Calc Analyt Geom Ii,"Perkins, Patrick",116,2.6,5,18,20,12,16,6,13,3,11,5,2,2,3
2011,Spring,MATH 126,Calc Anyl Geom Iii,"Taggart, Jennifer",157,2.8,8,31,22,20,27,17,10,11,2,4,1,2,2
2011,Spring,MATH 126,Calc Anyl Geom Iii,"Taggart, Jennifer",145,2.8,20,18,19,21,27,12,7,5,2,3,4,5,2
2011,Spring,MICROM 301,Gen Microbiology,"Anderson, Denise G",216,2.7,18,36,25,26,35,14,16,10,7,4,1,10,14
2011,Spring,MICROM 412,Prokaryotic Divers,"Leigh, John A",107,2.8,8,13,14,22,17,14,8,3,3,2,1,1,1
2011,Spring,MICROM 445,Medical Virology,"Smith, Jason G",184,2.8,16,32,32,23,27,8,11,17,6,2,1,3,6
2011,Spring,MUSIC 331,History Of Jazz,"Collier, Thomas W",42,2.5,3,3,5,7,3,4,5,2,2,2,1,1,4
2011,Spring,PHIL 100,Intro To Philosophy,"Peeters, Jonathan D.",168,2.6,7,29,30,27,21,14,6,7,6,3,3,10,5
2011,Spring,PHIL 120,Intro To Logic,"Weller, Cass",214,3,49,46,32,26,9,6,6,1,3,7,4,9,16
2011,Spring,PHYS 122,Electromagnetism,"Gupta, Subhadeep",149,3,28,29,19,23,24,9,2,4,1,2,2,2,4
2011,Spring,PHYS 123,Waves,"Pedigo, R. Daryl",196,2.9,21,24,37,39,31,22,8,7,2,1,1,2,1
2011,Spring,POL S 203,Intro Internatl Rel,"Mercer, Jonathan L.",217,2.9,18,49,34,31,35,13,10,9,1,1,4,8,4
2011,Spring,POL S 407,Internatl Conflict,"Kier, Elizabeth",76,2.9,15,13,11,8,5,3,8,2,3,1,1,3,3
2011,Spring,PSYCH 101,Intro To Psych,"Passer, Michael W",355,2.8,78,53,49,26,32,30,18,11,15,6,3,21,13
2011,Spring,PSYCH 101,Intro To Psych,"Osterhout, Lee",383,3,83,48,78,49,34,24,12,22,10,4,2,10,7
2011,Spring,PSYCH 202,Biopsych,"Voorhies, Ann C",286,3.1,90,44,44,26,25,13,12,4,3,6,3,10,6
2011,Spring,PSYCH 205,Behavior Disorders,"Chun, Deborah Y.",60,2.6,5,4,8,10,7,5,4,5,1,2,1,2,6
2011,Spring,PSYCH 210,Human Sexuality,"Mcdermott, Lois J.",473,3.1,105,101,71,44,58,25,30,13,7,3,1,4,11
2011,Spring,PSYCH 318,Stat Inference,"Loftus, Geoffrey R",65,2.9,18,13,3,4,6,7,2,2,2,2,2,3,1
2011,Spring,Q SCI 381,Intro Probabil&Stat,"Bare, Bruce",143,2.9,29,43,18,5,11,5,5,4,2,5,3,9,4
2011,Spring,QMETH 201,Intro To Stat Mthds,"Studer-Ellis, Erich",117,2.7,8,15,15,27,14,10,9,8,5,2,1,2,1
2011,Spring,SOC 271,Soc Deve/Soc Cntrl,"Weis, Joseph G",124,2.6,10,16,12,18,21,15,9,4,4,5,2,5,3
2011,Spring,SOC 316,Sociological Theory,"Pfaff, Steven J.",99,2.5,7,11,10,14,15,9,8,7,4,3,1,6,4
2011,Spring,SOC 371,Criminology,"Matsueda, Ross L.",149,2.7,17,27,19,18,14,8,9,12,5,6,5,3,6
2011,Spring,STAT 221,Stat For Soc Sci,"Clark, Samuel J.",100,3.2,14,35,25,7,7,1,1,1,1,2,2,1,3
2011,Spring,STAT 311,Elemnts Stat Method,"Cardoso, Tamre",117,2.9,13,28,13,18,11,8,4,8,4,1,3,2,4
2011,Summer,BIOL 220,Intro Biol,"Zeman, Leslie B.",171,2.7,8,19,22,27,35,22,11,16,3,1,2,1,4
2011,Summer,CHEM 162,General Chemistry,"Carroll, Andrea D.",116,2.6,5,10,11,22,24,12,15,9,3,2,1,1,1
2011,Summer,CHEM 239,Organic Chemistry,"Sasaki, Tomikazu",171,2.3,7,8,15,15,36,24,22,20,8,8,3,1,4
2011,Summer,GENOME 361,Fund Gen & Genomics,"Cheong, Frances Ka Yan",186,2.6,15,27,25,19,24,26,7,14,11,2,1,5,10
2011,Summer,PHYS 114,General Physics,"Reid, James H",83,2.7,8,11,11,9,12,15,7,1,1,2,1,2,3
2011,Summer,PSYCH 202,Biopsych,"Voorhies, Ann C",52,3,11,9,6,6,8,4,1,1,1,1,1,1,2
2012,Fall,ARCH 350,Arch Ancient World,"Iarocci, Louisa M",160,2.8,3,24,39,30,18,14,8,5,2,2,1,5,9
2012,Fall,ASTR 101,Astronomy,"Larson, Ana M.",277,3.2,30,102,62,30,27,6,1,4,2,1,2,3,7
2012,Fall,B H 401,History Of Medicine,"Berryman, Jack W",44,2.8,3,9,7,2,4,3,2,2,1,1,1,1,8
2012,Fall,BIO A 101,Human Bio Diversity,"Kramer, Patricia A.",234,3.5,136,42,16,13,7,3,2,6,1,1,1,4,2
2012,Fall,BIOC 405,Intro To Biochem,"Hurley, James B",676,2.8,43,88,95,105,130,89,59,35,4,3,3,3,19
2012,Fall,BIOC 440,Biochemistry,"Klevit, Rachel",325,2.8,34,54,50,33,61,30,12,10,7,8,5,3,18
2012,Fall,BIOL 180,Intro Biology,"Freeman, Scott",520,3,42,107,95,84,96,41,22,12,2,2,2,5,10
2012,Fall,BIOL 180,Intro Biology,"Freeman, Scott",466,2.6,27,57,52,66,80,37,40,32,15,6,3,14,37
2012,Fall,BIOL 200,Intro Biol,"Crowe, Alison J",379,2.8,30,63,47,47,78,28,33,26,7,5,1,2,12
2012,Fall,BIOL 350,Foundtns Physiology,"Kennedy, Michael L",126,2.8,26,15,16,12,15,13,11,3,3,2,1,4,5
2012,Fall,CHEM 120,Principles Of Chem I,"Meredith, Joseph Mitchell",342,2.8,22,51,49,65,62,37,18,11,2,2,2,9,12
2012,Fall,CHEM 142,General Chemistry,"Carroll, Andrea D.",279,2.7,10,50,41,35,53,22,21,18,7,3,4,8,7
2012,Fall,CHEM 223,Org Chem Short Prog,"Clary, Scott T.",141,2.7,12,19,18,22,18,17,12,8,2,3,1,2,7
2012,Fall,CHEM 237,Organic Chemistry,"Michael, Forrest",196,2.6,14,22,38,27,27,21,8,5,8,8,6,5,7
2012,Fall,COM 495,Spec Topics Com,"Rathe, Karen M",88,2.8,8,16,16,12,8,7,3,11,3,1,1,1,1
2012,Fall,CSE 142,Computer Prgrmng I,"Martin, Helene",328,2.7,22,53,53,42,35,39,12,9,7,5,4,21,26
2012,Fall,CSE 142,Computer Prgrmng I,"Martin, Helene",322,2.7,27,58,51,40,35,40,12,10,9,5,2,19,14
2012,Fall,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",279,2.7,23,48,31,39,33,26,27,13,2,6,2,16,13
2012,Fall,CSE 373,Data Struc/Algorith,"Anderson, Ruth",108,2.9,7,22,20,17,15,9,3,3,1,1,2,2,6
2012,Fall,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",478,2.9,27,91,100,73,95,22,14,10,3,3,4,14,22
2012,Fall,ESRM 100,Environmental Sci,"Harrison, Robert B",328,3.2,72,97,50,32,30,10,14,4,3,4,1,7,4
2012,Fall,GENOME 371,Intro Genetics,"Raghuraman, M. K.",189,2.8,32,23,24,18,38,12,14,9,5,4,1,3,6
2012,Fall,GEOG 315,Explan Undstn Geog,"Brown, Michael",64,2.6,10,11,2,9,5,2,6,2,2,5,3,3,4
2012,Fall,HIST 111,The Ancient World,"Joshel, Sandra R.",188,3,8,58,37,23,29,9,7,4,4,1,2,1,5
2012,Fall,JAPAN 111,1st-Yr Japanese,"Nishikawa, Itsuko",48,2.7,6,9,4,7,8,2,1,2,2,1,1,3,2
2012,Fall,JAPAN 111,1st-Yr Japanese,"Nishikawa, Itsuko",52,2.7,2,11,10,5,8,2,2,2,1,3,1,1,4
2012,Fall,LING 100,Fund Of Grammar,"Surek-Clark, Clarissa",246,3.1,65,47,23,24,34,15,13,10,4,3,3,2,3
2012,Fall,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",220,2.9,43,43,27,31,20,9,10,9,4,3,6,8,7
2012,Fall,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",29,2.4,6,3,1,3,1,2,2,1,1,2,2,3,2
2012,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",156,2.8,25,27,16,21,15,8,5,14,8,4,1,5,7
2012,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",158,3,36,34,19,23,11,9,6,4,7,1,3,4,1
2012,Fall,MATH 120,Precalculus,"Conroy, Matthew",149,2.5,9,19,21,17,25,4,6,12,1,3,2,12,18
2012,Fall,MATH 120,Precalculus,"Conroy, Matthew",139,2.5,11,23,18,24,13,4,5,3,3,7,3,13,12
2012,Fall,MATH 120,Precalculus,"Nichifor, Alexandra",147,2.7,10,21,10,16,46,7,4,11,3,3,2,1,13
2012,Fall,MATH 120,Precalculus,"Nichifor, Alexandra",149,3,17,28,26,22,32,3,3,6,5,1,1,1,4
2012,Fall,MATH 124,Calc Analyt Geom I,"Collingwood, David H",145,2.8,10,23,21,18,30,13,7,6,1,2,1,4,9
2012,Fall,MATH 124,Calc Analyt Geom I,"Conroy, Matthew",111,2.6,9,19,10,17,10,7,9,6,1,6,4,4,9
2012,Fall,MATH 124,Calc Analyt Geom I,"Devinatz, Ethan S",119,2.9,13,22,17,18,17,15,3,4,2,1,1,1,5
2012,Fall,MATH 125,Calc Analyt Geom Ii,"Burdzy, Krzysztof",114,2.7,9,15,17,17,16,10,12,10,3,2,1,1,1
2012,Fall,MATH 126,Calc Anyl Geom Iii,"Loveless, Andrew",193,2.7,18,31,24,31,29,12,10,10,3,6,2,10,7
2012,Fall,MATH 126,Calc Anyl Geom Iii,"Loveless, Andrew",197,3,28,39,20,35,33,17,7,7,2,1,2,1,5
2012,Fall,MEDCH 400,Fund Concpts Medch,"Nelson, Wendel L",101,2.7,24,11,9,10,13,5,8,8,5,1,1,5,1
2012,Fall,MICROM 301,Gen Microbiology,"Mougous, Joseph D",200,2.5,24,15,15,25,27,21,16,22,9,8,2,2,14
2012,Fall,MICROM 410,Fund Of Gen Micro I,"Parsek, Matthew R",182,2.6,35,17,13,11,20,20,19,12,13,4,4,6,8
2012,Fall,MUSIC 116,Elem Music Theory,"Saks, Toby",177,3.1,61,29,21,13,14,7,2,4,6,1,2,11,6
